,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,7,5,0.2631578947368421,2.9
1,Charlie,0,8,8,0.3157894736842105,4.7
2,Kenzie,0,8,6,0.21052631578947367,5.6
3,Liz,0,1,3,0.3684210526315789,2.8
4,Maria,0,7,8,0.2631578947368421,2.8
5,Q,0,4,3,0.21052631578947367,6.5
6,Venus,0,1,2,0.3684210526315789,4.0
