,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,6,5,0.23809523809523808,2.73
1,Charlie,0,8,8,0.2857142857142857,5.73
2,Kenzie,0,7,5,0.19047619047619047,5.91
3,Liz,0,2,2,0.3333333333333333,2.73
4,Maria,0,6,8,0.2857142857142857,2.82
5,Q,0,4,3,0.19047619047619047,6.27
