,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,8,6,0.35714285714285715,3.29
1,Charlie,0,8,8,0.2857142857142857,4.71
2,Hunter,1,7,7,0.5714285714285714,3.71
3,Kenzie,0,7,6,0.2857142857142857,6.0
4,Liz,0,4,4,0.5,1.57
5,Maria,0,8,7,0.35714285714285715,2.29
6,Q,0,5,5,0.21428571428571427,5.43
7,Tevin,0,7,7,0.5714285714285714,3.29
8,Tiff,1,7,7,0.14285714285714285,5.43
9,Venus,0,1,3,0.5,4.0
