,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,7,6,0.29411764705882354,2.89
1,Charlie,0,8,8,0.29411764705882354,5.11
2,Kenzie,0,8,6,0.23529411764705882,5.56
3,Liz,0,3,3,0.4117647058823529,1.89
4,Maria,0,8,8,0.29411764705882354,2.11
5,Q,0,4,4,0.17647058823529413,6.44
6,Tiff,1,7,7,0.11764705882352941,4.89
7,Venus,0,1,2,0.4117647058823529,4.44
