,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,7,7,0.3125,3.0
1,Charlie,0,9,8,0.25,5.25
2,Hunter,1,7,7,0.5625,3.5
3,Kenzie,0,7,6,0.25,5.5
4,Liz,0,4,3,0.4375,1.75
5,Maria,0,8,8,0.3125,2.13
6,Q,0,4,3,0.1875,6.63
7,Tiff,1,7,7,0.125,5.13
8,Venus,0,1,3,0.4375,4.38
