,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,7,7,0.38461538461538464,3.17
1,Charlie,0,8,8,0.3076923076923077,4.5
2,Hunter,1,8,8,0.6153846153846154,4.0
3,Kenzie,0,6,5,0.23076923076923078,6.0
4,Liz,0,4,4,0.5384615384615384,1.67
5,Maria,0,8,7,0.3076923076923077,2.17
6,Q,0,8,8,0.23076923076923078,5.67
7,Soda,0,4,5,0.5384615384615384,2.17
8,Tevin,0,8,7,0.6153846153846154,3.17
9,Tiff,1,8,7,0.15384615384615385,5.83
10,Tim,0,4,4,0.38461538461538464,2.67
11,Venus,0,1,4,0.5384615384615384,3.5
